tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,tidak/belum_sekolah,belum_tamat_sd/sederajat,tamat_sd/sederajat,sltp/sederajat,slta/sederajat,diploma_I/II,akademi/diploma_III/s._muda,diploma_IV/strata I,strata_II,strata_III
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,1365.0,571.0,1679.0,874.0,1594.0,27.0,60.0,184.0,4.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,1297.0,570.0,2179.0,1136.0,1106.0,15.0,38.0,108.0,8.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,428.0,193.0,818.0,338.0,401.0,13.0,17.0,32.0,,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,488.0,197.0,656.0,322.0,446.0,8.0,19.0,44.0,3.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1036.0,458.0,1411.0,792.0,1023.0,54.0,66.0,198.0,4.0,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,520.0,318.0,1139.0,372.0,409.0,9.0,18.0,33.0,3.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,378.0,293.0,266.0,383.0,1445.0,22.0,178.0,412.0,30.0,2.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,2347.0,1689.0,1042.0,2061.0,7627.0,43.0,783.0,3056.0,216.0,15.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,2967.0,2245.0,1748.0,2724.0,9068.0,52.0,790.0,2124.0,153.0,13.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,2255.0,1715.0,1248.0,1872.0,7617.0,67.0,799.0,1858.0,177.0,13.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,1552.0,1167.0,1081.0,1681.0,5217.0,26.0,377.0,1099.0,76.0,5.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,3957.0,2407.0,2854.0,3591.0,10158.0,74.0,503.0,1562.0,69.0,4.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1803.0,1328.0,1215.0,2085.0,6093.0,40.0,629.0,2254.0,165.0,13.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,4628.0,3292.0,4928.0,6147.0,11728.0,85.0,645.0,1567.0,65.0,3.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,3665.0,2796.0,3453.0,4383.0,10770.0,61.0,824.0,1856.0,107.0,6.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,2311.0,1656.0,1851.0,2636.0,7758.0,61.0,677.0,2597.0,173.0,16.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,5168.0,3224.0,4153.0,6175.0,14097.0,82.0,767.0,1788.0,81.0,10.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,3988.0,2428.0,2379.0,3709.0,10300.0,44.0,672.0,1645.0,56.0,2.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,5469.0,3211.0,3054.0,3135.0,14046.0,74.0,948.0,2229.0,181.0,18.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,3914.0,3013.0,2727.0,2812.0,11278.0,88.0,1065.0,2198.0,143.0,9.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,5825.0,3830.0,2953.0,3888.0,15047.0,159.0,1232.0,2932.0,147.0,6.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,3357.0,2372.0,1818.0,3294.0,9631.0,54.0,876.0,2220.0,102.0,7.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,5866.0,4377.0,2985.0,4291.0,15476.0,193.0,1732.0,3981.0,267.0,17.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,3841.0,2870.0,2725.0,3099.0,9026.0,130.0,1410.0,4025.0,369.0,19.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,5452.0,3965.0,3913.0,4860.0,13710.0,80.0,817.0,1581.0,75.0,3.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,1325.0,759.0,935.0,1234.0,3040.0,21.0,289.0,806.0,97.0,2.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,1393.0,975.0,734.0,1130.0,4476.0,56.0,616.0,1270.0,124.0,17.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,3971.0,2587.0,2333.0,3250.0,11047.0,133.0,1409.0,3182.0,288.0,31.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,5730.0,2611.0,4818.0,5400.0,13044.0,89.0,1037.0,2286.0,138.0,13.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,2703.0,1829.0,2409.0,2451.0,6789.0,59.0,607.0,1514.0,124.0,7.0
